Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,PCIe,TDP
Intel Pentium G4560,2017 Q1,14 nm+,2,4,3.5,3.5,3.0,64.0,16.0,54
Intel Pentium G4400,2015 Q3,14 nm,2,2,3.3,3.3,3.0,64.0,16.0,54
Intel Pentium G3220,2013 Q3,22 nm,2,2,3.0,3.0,3.0,32.0,16.0,53
Intel Pentium E5700,2010 Q3,45 nm,2,2,3.0,3.0,2.0,4.0,16.0,65
Intel Pentium E5300,2008 Q1,45 nm,2,2,2.6,2.6,2.0,4.0,16.0,65
Intel Pentium E5200,2008 Q3,45 nm,2,2,2.5,2.5,2.0,8.0,16.0,65
Intel Pentium 4 650,2005 Q1,90 nm,1,2,3.4,3.4,2.0,2.0,16.0,84
Intel Pentium 4 631,2006 Q1,65 nm,1,2,3.0,3.0,2.0,2.0,16.0,86
Intel Core m3-8100Y,2018 Q3,14 nm++,2,4,1.1,3.4,4.0,16.0,10.0,5
Intel Core m3-7Y30,2016 Q3,14 nm,2,4,1.0,2.6,4.0,16.0,10.0,5
Intel Core m3-6Y30,2015 Q3,14 nm,2,4,0.9,2.4,4.0,16.0,10.0,5
Intel Core i9-9990XE,2019 Q1,14 nm++,14,28,4.0,5.0,19.25,128.0,44.0,255
Intel Core i9-9980XE,2018 Q4,14 nm++,18,36,3.0,4.4,24.75,128.0,44.0,165
Intel Core i9-9980HK,2019 Q2,14 nm++,8,16,2.4,5.0,16.0,128.0,16.0,45
Intel Core i9-9960X,2018 Q4,14 nm++,16,32,3.1,4.4,22.0,128.0,44.0,165
Intel Core i9-9940X,2018 Q4,14 nm++,14,28,3.3,4.4,19.25,128.0,44.0,165
Intel Core i9-9920X,2018 Q4,14 nm++,12,24,3.5,4.4,19.25,128.0,44.0,165
Intel Core i9-9900X,2018 Q4,14 nm++,10,20,3.5,4.4,19.25,128.0,44.0,165
Intel Core i9-9900T,2019 Q2,14 nm++,8,16,2.1,4.4,16.0,128.0,16.0,65
Intel Core i9-9900KS,2019 Q4,14 nm++,8,16,4.0,5.0,16.0,128.0,16.0,127
Intel Core i9-9900KF,2019 Q1,14nm++,8,16,3.6,5.0,16.0,128.0,16.0,95
Intel Core i9-9900K,2018 Q4,14 nm++,8,16,3.6,5.0,16.0,128.0,16.0,95
Intel Core i9-9900,2019 Q2,14 nm++,8,16,3.1,5.0,16.0,128.0,16.0,65
Intel Core i9-9880H,2019 Q2,14 nm++,8,16,2.3,4.8,16.0,128.0,16.0,45
Intel Core i9-9820X,2018 Q4,14 nm++,10,20,3.3,4.1,16.5,128.0,44.0,165
Intel Core i9-8950HK,2018 Q2,14 nm++,6,12,2.9,4.8,12.0,64.0,16.0,45
Intel Core i9-7980XE,2017 Q3,14 nm+,18,36,2.6,4.2,24.75,128.0,44.0,165
Intel Core i9-7960X,2017 Q3,14 nm+,16,32,2.8,4.2,22.0,128.0,44.0,165
Intel Core i9-7940X,2017 Q3,14 nm+,14,28,3.1,4.3,19.25,128.0,44.0,165
Intel Core i9-7920X,2017 Q3,14 nm+,12,24,2.9,4.3,16.5,128.0,44.0,140
Intel Core i9-7900X,2017 Q2,14 nm+,10,20,3.3,4.3,13.75,128.0,44.0,140
Intel Core i9-10990XE,2020 Q2,14 nm+++,22,44,4.0,5.0,30.25,256.0,48.0,380
Intel Core i9-10980XE,2019 Q4,14 nm+++,18,36,3.0,4.6,24.75,256.0,48.0,165
Intel Core i9-10980HK,2020 Q2,14 nm+++,8,16,2.4,5.3,16.0,128.0,16.0,45
Intel Core i9-10960X,2019 Q4,14 nm+++,16,32,3.2,4.5,22.0,128.0,44.0,165
Intel Core i9-10940X,2019 Q4,14 nm+++,14,28,3.3,4.6,19.25,256.0,48.0,165
Intel Core i9-10920X,2019 Q4,14 nm+++,12,24,3.5,4.6,19.25,256.0,48.0,165
Intel Core i9-10910,2020 Q3,14 nm+++,10,20,3.6,5.0,20.0,128.0,16.0,125
Intel Core i9-10900X,2019 Q4,14 nm+++,10,20,3.7,4.5,19.25,256.0,48.0,165
Intel Core i9-10900T,2020 Q2,14 nm+++,10,20,1.9,4.6,20.0,128.0,16.0,35
Intel Core i9-10900KF,2020 Q2,14 nm+++,10,20,3.7,5.3,20.0,128.0,16.0,125
Intel Core i9-10900KA,2020 Q2,14 nm+++,10,20,3.7,5.3,20.0,128.0,16.0,125
Intel Core i9-10900K,2020 Q2,14 nm+++,10,20,3.7,5.3,20.0,128.0,16.0,125
Intel Core i9-10900F,2020 Q2,14 nm+++,10,20,2.8,5.2,20.0,128.0,16.0,65
Intel Core i9-10900,2020 Q2,14 nm+++,10,20,2.8,5.2,20.0,128.0,16.0,65
Intel Core i9-10850KA,2020 Q4,14 nm+++,10,20,3.6,5.2,20.0,128.0,16.0,125
Intel Core i9-10850K,2020 Q3,14 nm+++,10,20,3.6,5.2,20.0,128.0,16.0,125
Intel Core i9-10800F,2020 Q2,14 nm+++,10,20,2.7,5.0,20.0,128.0,16.0,65
Intel Core i7-9850H,2019 Q2,14 nm++,6,12,2.6,4.6,12.0,128.0,16.0,45
Intel Core i7-9800X,2018 Q4,14 nm++,8,16,3.8,4.4,16.5,128.0,44.0,165
Intel Core i7-9750H,2019 Q2,14 nm++,6,12,2.6,4.5,12.0,128.0,16.0,95
Intel Core i7-9700T,2019 Q2,14 nm++,8,8,2.0,4.3,12.0,128.0,16.0,35
Intel Core i7-9700KF,2019 Q1,14 nm++,8,8,3.6,4.9,12.0,128.0,16.0,95
Intel Core i7-9700K,2018 Q4,14 nm++,8,8,3.6,4.9,12.0,128.0,16.0,95
Intel Core i7-9700F,2019 Q2,14 nm++,8,8,3.0,4.7,12.0,128.0,16.0,65
Intel Core i7-9700E,2019 Q2,14 nm++,8,8,2.6,4.4,12.0,128.0,16.0,65
Intel Core i7-9700,2019 Q2,14 nm++,8,8,3.0,4.7,12.0,128.0,16.0,65
Intel Core i7-960,2009 Q2,45 nm,4,8,3.2,3.46,8.0,24.0,16.0,130
Intel Core i7-950,2009 Q2,45 nm,4,8,3.06,3.33,8.0,24.0,16.0,130
Intel Core i7-920,2008 Q4,45 nm,4,8,2.66,2.93,8.0,24.0,16.0,130
Intel Core i7-8850H,2018 Q2,14 nm++,6,12,2.6,4.3,9.0,64.0,16.0,45
Intel Core i7-8750H,2018 Q2,14 nm++,6,12,2.2,4.1,9.0,64.0,16.0,45
Intel Core i7-8706G,2018 Q2,14 nm+,4,8,3.1,4.1,8.0,64.0,8.0,65
Intel Core i7-8700T,2018 Q2,14 nm++,6,12,2.4,4.0,12.0,128.0,16.0,35
Intel Core i7-8700K,2017 Q4,14 nm++,6,12,3.7,4.7,12.0,64.0,16.0,95
Intel Core i7-8700B,2018 Q2,14 nm++,6,12,3.2,4.6,12.0,64.0,16.0,65
Intel Core i7-8700,2017 Q4,14 nm++,6,12,3.2,4.6,12.0,64.0,16.0,65
Intel Core i7-870,2009 Q3,45 nm,4,8,2.93,3.6,8.0,16.0,16.0,95
Intel Core i7-8665U,2019 Q2,14 nm++,4,8,1.9,4.8,8.0,64.0,16.0,15
Intel Core i7-8650U,2017 Q3,14 nm+,4,8,1.9,4.2,8.0,32.0,12.0,15
Intel Core i7-860,2009 Q3,45 nm,4,8,2.8,3.46,8.0,16.0,16.0,95
Intel Core i7-8565U,2018 Q3,14 nm++,4,8,1.8,4.6,8.0,64.0,16.0,15
Intel Core i7-8550U,2017 Q3,14 nm+,4,8,1.8,4.0,8.0,32.0,12.0,15
Intel Core i7-8500Y,2019 Q1,14 nm++,2,4,1.5,4.2,4.0,16.0,10.0,5
Intel Core i7-8086K,2018 Q2,14 nm++,6,12,4.0,5.0,12.0,64.0,16.0,95
Intel Core i7-7820X,2017 Q2,14 nm+,8,16,3.6,4.3,11.0,128.0,28.0,140
Intel Core i7-7800X,2017 Q2,14 nm+,6,12,3.5,4.0,8.25,128.0,28.0,140
Intel Core i7-7740X,2017 Q2,14 nm+,4,8,4.3,4.5,8.0,64.0,16.0,112
Intel Core i7-7700K,2017 Q1,14 nm,4,8,4.2,4.5,8.0,64.0,16.0,91
Intel Core i7-7700HQ,2017 Q1,14 nm+,4,8,2.8,3.8,6.0,64.0,16.0,45
Intel Core i7-7700,2017 Q1,14 nm+,4,8,3.6,4.2,8.0,64.0,16.0,65
Intel Core i7-7600U,2016 Q3,14 nm+,2,4,2.8,3.9,4.0,32.0,12.0,15
Intel Core i7-7500U,2016 Q3,14 nm+,2,4,2.7,3.5,4.0,32.0,12.0,15
Intel Core i7-6950X,2016 Q2,14 nm,10,20,3.0,3.5,25.0,128.0,40.0,140
Intel Core i7-6900K,2016 Q2,14 nm,8,16,3.2,3.7,20.0,128.0,40.0,140
Intel Core i7-6850K,2016 Q2,14 nm,6,12,3.6,3.8,15.0,128.0,40.0,140
Intel Core i7-6820HQ,2015 Q3,14 nm,4,8,2.7,3.6,8.0,64.0,16.0,45
Intel Core i7-6800K,2016 Q2,14 nm,6,12,3.4,3.6,15.0,128.0,28.0,140
Intel Core i7-6700K,2015 Q3,14 nm,4,8,4.0,4.2,8.0,64.0,16.0,91
Intel Core i7-6700HQ,2015 Q3,14 nm,4,4,2.6,3.5,6.0,64.0,16.0,45
Intel Core i7-6700,2015 Q3,14 nm,4,8,3.4,4.0,8.0,64.0,16.0,65
Intel Core i7-6600U,2015 Q3,14 nm,2,4,2.6,3.4,4.0,32.0,12.0,15
Intel Core i7-6500U,2015 Q3,14 nm,2,4,2.5,3.1,4.0,32.0,12.0,15
Intel Core i7-5960X,2014 Q3,22 nm,8,16,3.0,3.5,20.0,64.0,40.0,140
Intel Core i7-5930K,2014 Q3,22 nm,6,12,3.5,3.7,15.0,64.0,40.0,140
Intel Core i7-5820K,2014 Q3,22 nm,6,12,3.3,3.6,15.0,64.0,28.0,140
Intel Core i7-5775C,2015 Q2,14 nm,4,8,3.3,3.7,6.0,32.0,16.0,65
Intel Core i7-5600U,2015 Q1,14 nm,2,4,2.6,3.2,4.0,16.0,12.0,15
Intel Core i7-5500U,2015 Q1,14 nm,2,4,2.4,3.0,4.0,16.0,12.0,15
Intel Core i7-4960X,2013 Q3,22 nm,6,12,3.6,4.0,45.0,64.0,40.0,130
Intel Core i7-4930K,2013 Q3,22 nm,6,12,3.4,3.9,12.0,64.0,40.0,130
Intel Core i7-4820K,2013 Q3,22 nm,4,8,3.7,3.9,10.0,64.0,40.0,130
Intel Core i7-4800MQ,2013 Q2,22 nm,4,8,2.7,3.7,6.0,32.0,16.0,47
