Model,Architecture,Pixel Shaders,Vertex Shaders,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type
NVIDIA GeForce RTX 2060 Max-Q,Turing,1920,,975,1185,11000,192,GDDR6
NVIDIA Quadro P4200,Pascal,2304,,1215,1480,7132,256,GDDR5
AMD Radeon RX 5600M,Navi / RDNA,2304,,,1265,12000,192,GDDR6
NVIDIA Quadro P5000,Pascal,2048,,1164,1506,6006,256,GDDR5
NVIDIA GeForce GTX 1660 Ti Mobile,Turing,1536,,1455,1590,12000,192,GDDR6
NVIDIA GeForce GTX 1070 Max-Q,Pascal,2048,,1101 - 1215,1265 - 1379,8000,256,GDDR5
AMD Radeon Pro 5600M,Navi / RDNA,2560,,,1265,,2048,HBM2
NVIDIA GeForce GTX 1660 Ti Max-Q,Turing,1536,,1140,1335,12000,192,GDDR6
NVIDIA Quadro P5000 Max-Q,Pascal,2048,,1101,1366,6006,256,GDDR5
NVIDIA GeForce GTX 980M SLI,Maxwell,3072,,1038,1127,5000,2x 256,GDDR5
NVIDIA GeForce GTX 980 (Laptop),Maxwell,2048,,1126,1228,3500,256,GDDR5
NVIDIA Quadro M5500,Maxwell,2048,,1139,1140,6606,256,GDDR5
NVIDIA GeForce GTX 970M SLI,Maxwell,2560,,924,1038,5000,2x 192,GDDR5
NVIDIA Quadro P4000,Pascal,1792,,1202,1228,6006,256,GDDR5
NVIDIA Quadro T2000 (Laptop),Turing,1024,,1575,1785,8000,128,GDDR5
NVIDIA Quadro T2000 Max-Q,Turing,1024,,930 / 1200,1500 / 1620,8000,128,GDDR5
NVIDIA GeForce GTX 1060 Mobile,Pascal,1280,,1404,1670,8000,192,GDDR5
NVIDIA GeForce GTX 1650 Ti Mobile,Turing,1024,,1350,1485,12000,128,GDDR6
AMD Radeon RX 5500M,Navi / RDNA,1408,,1327,1645,14000,128,GDDR6
AMD Radeon Pro 5500M,Navi / RDNA,1536,,,1300,12000,128,GDDR6
NVIDIA Quadro P4000 Max-Q,Pascal,1792,,1113,1240,6006,256,GDDR5
NVIDIA Quadro P3200,Pascal,1792,,708 - 1202,1228,7008,192,GDDR5
AMD Radeon RX 580X (Laptop),Polaris,2304,,,1340,,,GDDR5
AMD Radeon RX 580 (Laptop),Polaris,2304,,1077,,,,GDDR5
AMD Radeon RX Vega Mobile,Vega,1792,,,,,2048,HBM2
AMD Radeon Pro 5300M,Navi / RDNA,1280,,,1250,12000,128,GDDR6
AMD Radeon RX 5300M,Navi / RDNA,1408,,1036,1445,14000,96,GDDR6
NVIDIA Quadro P3000,Pascal,1280,,1088,1215,7008,192,GDDR5
NVIDIA GeForce GTX 1650 Mobile,Turing,1024,,1395,1560,8000,128,"GDDR5, GDDR6"
NVIDIA GeForce GTX 1060 Max-Q,Pascal,1280,,1063 - 1265,1341 - 1480,8000,192,GDDR5
NVIDIA Quadro P3000 Max-Q,Pascal,1280,,1075,1240,7008,192,GDDR5
